Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time
iris,2,Univariate,0.0,3,0.0,38,12,1.6238470077514648
iris,2,Univariate,0.2,25,0.0,6,1,0.0924990177154541
iris,2,Univariate,0.4,48,0.0,5,1,0.4920158386230469
iris,2,Univariate,0.6,72,0.0,5,1,0.6598849296569824
iris,2,Univariate,0.8,95,0.0,5,1,1.767266035079956
iris,2,Univariate,1.0,118,0.0,5,1,3.00917911529541
iris,2,Multivariate,0.0,3,0.0,82,18,0.08097600936889648
iris,2,Multivariate,0.2,25,0.0,76,24,0.18703484535217285
iris,2,Multivariate,0.4,48,0.0,82,18,0.29586291313171387
iris,2,Multivariate,0.6,72,0.0,82,18,0.5395820140838623
iris,2,Multivariate,0.8,95,0.0,82,18,0.8029348850250244
iris,2,Multivariate,1.0,118,0.0,82,18,0.733241081237793
iris,3,Univariate,0.0,3,0.0,38,12,0.0259549617767334
iris,3,Univariate,0.2,25,0.0,5,1,3.255389928817749
iris,3,Univariate,0.4,48,0.0,4,1,5.983479976654053
iris,3,Univariate,0.6,72,0.0,0,1,2.2494089603424072
iris,3,Univariate,0.8,95,1.694913817869646,1,1,10.02480411529541
iris,3,Univariate,1.0,118,0.0,0,1,1.9160821437835693
iris,3,Multivariate,0.0,3,0.0,76,24,0.14445996284484863
iris,3,Multivariate,0.2,25,0.0,76,24,1.2912330627441406
iris,3,Multivariate,0.4,48,0.0,82,18,0.5302939414978027
iris,3,Multivariate,0.6,72,0.0,82,18,0.3886280059814453
iris,3,Multivariate,0.8,95,0.0,82,18,1.0537960529327393
iris,3,Multivariate,1.0,118,0.0,82,18,1.9854340553283691
iris,4,Univariate,0.0,3,0.0,38,12,0.027972936630249023
iris,4,Univariate,0.2,25,0.0,11,5,5.3337860107421875
iris,4,Univariate,0.4,48,3.448272889419923,4,1,10.022562980651855
iris,4,Univariate,0.6,72,2.564100372563784,0,1,10.059877157211304
iris,4,Univariate,0.8,95,1.694913817869646,2,1,10.050537824630737
iris,4,Univariate,1.0,118,3.448272889419923,4,2,10.066483974456787
iris,4,Multivariate,0.0,3,0.0,82,18,0.47688794136047363
iris,4,Multivariate,0.2,25,0.0,76,24,0.5964140892028809
iris,4,Multivariate,0.4,48,0.0,82,18,3.2530031204223633
iris,4,Multivariate,0.6,72,0.0,82,18,4.570904016494751
iris,4,Multivariate,0.8,95,0.0,82,18,2.1821720600128174
iris,4,Multivariate,1.0,118,0.0,82,18,6.8760130405426025
seeds,2,Univariate,0.0,3,0.0,54,17,0.018056154251098633
seeds,2,Univariate,0.2,34,0.0,12,3,0.5569779872894287
seeds,2,Univariate,0.4,68,0.0,18,3,2.7417900562286377
seeds,2,Univariate,0.6,101,3.20512615056016,13,3,10.012526035308838
seeds,2,Univariate,0.8,135,4.9299840980180845,10,3,10.013612985610962
seeds,2,Univariate,1.0,168,9.803915160839765,15,3,10.046535968780518
seeds,2,Multivariate,0.0,3,0.0,109,31,0.23510098457336426
