Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time,Iterations
iris,2,Univariate,0.0,3,0.0,38,12,0.01582813262939453,1
iris,2,Univariate,0.2,24,0.0,5,1,0.21830391883850098,1
iris,2,Univariate,0.4,48,0.0,5,1,0.33410000801086426,1
iris,2,Univariate,0.6,72,0.0,5,1,0.7202620506286621,1
iris,2,Univariate,0.8,96,0.0,5,1,1.6447579860687256,1
iris,2,Univariate,1.0,120,0.0,5,1,2.5273380279541016,1
iris,2,Heuristic (FhS),0.0,3,0.0,5,1,1.0865678787231445,8
iris,2,Heuristic (FhS),0.2,24,0.0,5,1,2.455749988555908,6
iris,2,Heuristic (FhS),0.4,48,0.0,5,1,3.4627139568328857,5
iris,2,Heuristic (FhS),0.6,72,0.0,5,1,2.596284866333008,2
iris,2,Heuristic (FhS),0.8,96,0.0,5,1,1.8039729595184326,1
iris,2,Heuristic (FhS) with shifts,0.0,3,0.0,5,1,1.0758590698242188,8
iris,2,Heuristic (FhS) with shifts,0.2,24,0.0,5,1,2.1195619106292725,6
iris,2,Heuristic (FhS) with shifts,0.4,48,0.0,5,1,3.2367818355560303,5
iris,2,Heuristic (FhS) with shifts,0.6,72,0.0,5,1,2.411309003829956,2
iris,2,Heuristic (FhS) with shifts,0.8,96,0.0,5,1,1.5782160758972168,1
iris,2,Exact (FeS),0.0,3,0.0,5,1,12.677504062652588,8
iris,2,Exact (FeS),0.2,24,0.0,5,1,11.50626516342163,6
iris,2,Exact (FeS),0.4,48,0.0,5,1,13.41402006149292,4
iris,2,Exact (FeS),0.6,72,0.0,5,1,10.587414026260376,3
iris,2,Exact (FeS),0.8,96,0.0,6,1,5.452223062515259,1
iris,3,Univariate,0.0,3,0.0,38,12,0.04408407211303711,1
iris,3,Univariate,0.2,24,0.0,4,2,1.5745317935943604,1
iris,3,Univariate,0.4,48,0.0,2,1,5.216821908950806,1
iris,3,Univariate,0.6,72,0.0,0,1,1.9281280040740967,1
