Dataset,D,Method,Clusters,Gap,Train_Errors,Test_Errors,Time,Iterations
iris,2,Univariate,120,0.0,5,1,2.5576729774475098,1
iris,2,Heuristic (FhS),120,0.0,5,1,2.949234962463379,1
iris,2,Heuristic (FhS) with shifts,120,0.0,5,1,3.4465231895446777,1
iris,2,Exact (FeS),120,0.0,5,2,4.532196998596191,1
iris,3,Univariate,120,0.840335428289556,1,1,10.034762144088745,1
iris,3,Heuristic (FhS),120,0.840335428289556,1,1,10.079396963119507,1
iris,3,Heuristic (FhS) with shifts,120,0.0,0,4,10.080222845077515,1
iris,3,Exact (FeS),120,0.0,0,1,7.929955959320068,1
iris,4,Univariate,120,31.86809684824522,26,15,10.074079990386963,1
iris,4,Heuristic (FhS),120,11.111100823054793,12,5,10.1219961643219,1
iris,4,Heuristic (FhS) with shifts,120,4.347822306241473,5,1,10.135493993759155,1
iris,4,Exact (FeS),120,2.564100372563784,3,1,10.146971940994263,1
seeds,2,Univariate,168,3.8834066319996614,10,2,10.02288293838501,1
seeds,2,Heuristic (FhS),168,3.8834066319996614,10,2,10.039530038833618,1
seeds,2,Heuristic (FhS) with shifts,168,3.8834066319996614,10,2,10.036732912063599,1
seeds,2,Exact (FeS),168,5.2795713691577415,10,3,10.046458959579468,1
seeds,3,Univariate,168,9.090903187725203,14,3,10.043852090835571,1
seeds,3,Heuristic (FhS),168,9.090903187725203,14,3,10.09143590927124,1
seeds,3,Heuristic (FhS) with shifts,168,9.090903187725203,0,0,10.087764978408813,1
seeds,3,Exact (FeS),168,8.387091363166862,12,3,10.098241090774536,1
seeds,4,Univariate,168,18.309846260671648,26,4,10.086232900619507,1
seeds,4,Heuristic (FhS),168,18.309846260671648,26,4,10.172263145446777,1
seeds,4,Heuristic (FhS) with shifts,168,18.309846260671648,1,0,10.221158027648926,1
seeds,4,Exact (FeS),168,41.176435986188245,32,7,10.22207498550415,1
wine,2,Univariate,142,5.970144798399404,8,3,10.020918130874634,1
wine,2,Heuristic (FhS),142,5.970144798399404,8,3,10.042845964431763,1
wine,2,Heuristic (FhS) with shifts,142,5.970144798399404,0,0,10.381146907806396,1
wine,2,Exact (FeS),142,3.649632372531115,5,2,10.049870014190674,1
wine,3,Univariate,142,8.396940155007515,11,1,10.043752908706665,1
wine,3,Heuristic (FhS),142,8.396940155007515,11,1,10.104114055633545,1
wine,3,Heuristic (FhS) with shifts,142,8.396940155007515,0,0,10.104465961456299,1
wine,3,Exact (FeS),142,4.4117614619401015,5,4,10.113225936889648,1
wine,4,Univariate,142,21.3675031046982,25,6,10.088925123214722,1
wine,4,Heuristic (FhS),142,18.333318055568288,22,10,10.171890020370483,1
wine,4,Heuristic (FhS) with shifts,142,23.478240453703954,11,5,10.199745178222656,1
wine,4,Exact (FeS),142,49.4736321330188,47,13,10.185441970825195,1
breast_cancer_,2,Univariate,455,7.565010031912522,32,9,10.084043979644775,1
breast_cancer_,2,Heuristic (FhS),455,7.565010031912522,32,9,10.444527864456177,1
breast_cancer_,2,Heuristic (FhS) with shifts,455,7.565010031912522,32,9,10.455888986587524,1
breast_cancer_,2,Exact (FeS),455,8.591883390958618,36,12,10.498171091079712,1
breast_cancer_,3,Univariate,455,34.615374374149596,55,12,10.225687026977539,1
breast_cancer_,3,Heuristic (FhS),455,45.833318643167104,143,35,10.477288007736206,1
breast_cancer_,3,Heuristic (FhS) with shifts,455,34.615374374149596,55,12,11.316529035568237,1
breast_cancer_,3,Exact (FeS),455,15.48222957303818,61,13,10.486531019210815,1
breast_cancer_,4,Univariate,455,45.833318643167104,143,35,30.544426918029785,1
breast_cancer_,4,Heuristic (FhS),455,45.833318643167104,143,35,32.809098958969116,1
breast_cancer_,4,Heuristic (FhS) with shifts,455,45.833318643167104,143,35,30.16254496574402,1
breast_cancer_,4,Exact (FeS),455,45.833318643167104,143,35,25.296138048171997,1
ecoli_,2,Univariate,268,6.524624019076176,47,15,10.059798002243042,1
ecoli_,2,Heuristic (FhS),268,8.600205438084295,47,15,10.084305047988892,1
ecoli_,2,Heuristic (FhS) with shifts,268,5.692103191446816,47,15,10.087326049804688,1
ecoli_,2,Exact (FeS),268,12.891232265127808,48,18,10.205721139907837,1
ecoli_,3,Univariate,268,101.50368307993753,127,26,10.082081079483032,1
ecoli_,3,Heuristic (FhS),268,101.50368307993753,127,26,10.186612129211426,1
ecoli_,3,Heuristic (FhS) with shifts,268,3249.9593755078063,179,51,10.224372863769531,1
ecoli_,3,Exact (FeS),268,82.31286917491893,111,25,10.189924001693726,1
ecoli_,4,Univariate,268,2.68e8,159,34,10.277074098587036,1
ecoli_,4,Heuristic (FhS),268,2.68e8,159,34,10.207497119903564,1
ecoli_,4,Heuristic (FhS) with shifts,268,2.68e8,0,0,10.237671136856079,1
ecoli_,4,Exact (FeS),268,248.05162590697933,135,28,10.238168954849243,1
