Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time,Iterations
iris,2,Univariate,0.0,3,0.0,38,12,0.02008199691772461,1
iris,2,Univariate,0.2,24,0.0,5,1,0.2214980125427246,1
iris,2,Univariate,0.4,48,0.0,5,1,0.34131383895874023,1
iris,2,Univariate,0.6,72,0.0,5,1,0.7458090782165527,1
iris,2,Univariate,0.8,96,0.0,5,1,1.7004799842834473,1
iris,2,Univariate,1.0,120,0.0,5,1,2.8507490158081055,1
iris,2,Heuristic (FhS),0.0,3,0.0,5,1,1.23294997215271,8
iris,2,Heuristic (FhS),0.2,24,0.0,5,1,2.1664788722991943,6
iris,2,Heuristic (FhS),0.4,48,0.0,5,1,3.226323127746582,5
iris,2,Heuristic (FhS),0.6,72,0.0,5,1,2.360954999923706,2
iris,2,Heuristic (FhS),0.8,96,0.0,5,1,1.6099729537963867,1
iris,2,Heuristic (FhS) with shifts,0.0,3,0.0,0,0,1.0485138893127441,8
iris,2,Heuristic (FhS) with shifts,0.2,24,0.0,5,1,1.9204299449920654,6
iris,2,Heuristic (FhS) with shifts,0.4,48,0.0,5,1,3.208361864089966,5
iris,2,Heuristic (FhS) with shifts,0.6,72,0.0,5,1,2.327367067337036,2
iris,2,Heuristic (FhS) with shifts,0.8,96,0.0,5,1,1.5540621280670166,1
iris,2,Exact (FeS),0.0,3,0.0,5,1,9.950898885726929,8
iris,2,Exact (FeS),0.2,24,0.0,5,1,12.318649053573608,6
iris,2,Exact (FeS),0.4,48,0.0,5,1,12.340922832489014,4
iris,2,Exact (FeS),0.6,72,0.0,5,1,10.616436958312988,3
iris,2,Exact (FeS),0.8,96,0.0,6,1,3.357556104660034,1
iris,3,Univariate,0.0,3,0.0,38,12,0.02339792251586914,1
iris,3,Univariate,0.2,24,0.0,4,2,1.1770119667053223,1
iris,3,Univariate,0.4,48,0.0,2,1,4.689388036727905,1
iris,3,Univariate,0.6,72,0.0,0,1,1.9460949897766113,1
iris,3,Univariate,0.8,96,0.0,0,1,4.9582648277282715,1
iris,3,Univariate,1.0,120,0.0,0,3,16.147593021392822,1
iris,3,Heuristic (FhS),0.0,3,0.0,0,4,9.554078102111816,8
iris,3,Heuristic (FhS),0.2,24,0.0,0,1,12.58956003189087,7
iris,3,Heuristic (FhS),0.4,48,0.0,0,4,3.906608819961548,2
iris,3,Heuristic (FhS),0.6,72,0.0,0,4,4.950098037719727,2
iris,3,Heuristic (FhS),0.8,96,0.0,0,3,18.97420620918274,1
iris,3,Heuristic (FhS) with shifts,0.0,3,0.0,0,0,8.43819785118103,8
iris,3,Heuristic (FhS) with shifts,0.2,24,0.0,0,1,8.083691120147705,7
iris,3,Heuristic (FhS) with shifts,0.4,48,0.0,0,4,3.8730459213256836,2
iris,3,Heuristic (FhS) with shifts,0.6,72,0.0,0,4,4.651808977127075,2
iris,3,Heuristic (FhS) with shifts,0.8,96,0.0,0,3,17.74427604675293,1
iris,3,Exact (FeS),0.0,3,0.0,0,1,25.44260311126709,9
iris,3,Exact (FeS),0.2,24,0.0,0,3,44.30959987640381,8
iris,3,Exact (FeS),0.4,48,0.0,0,1,10.218477964401245,1
iris,3,Exact (FeS),0.6,72,0.0,0,4,20.898844003677368,2
iris,3,Exact (FeS),0.8,96,0.0,0,1,4.149951934814453,1
iris,4,Univariate,0.0,3,0.0,38,12,0.03241920471191406,1
iris,4,Univariate,0.2,24,0.0,3,3,5.422080039978027,1
iris,4,Univariate,0.4,48,0.0,2,2,2.45377779006958,1
iris,4,Univariate,0.6,72,0.0,0,1,10.255688190460205,1
iris,4,Univariate,0.8,96,0.0,0,1,16.211779832839966,1
iris,4,Univariate,1.0,120,0.0,0,1,42.10717797279358,1
iris,4,Heuristic (FhS),0.0,3,0.0,0,3,9.65890097618103,9
iris,4,Heuristic (FhS),0.2,24,0.0,0,1,28.65405297279358,8
iris,4,Heuristic (FhS),0.4,48,0.0,0,1,4.460890054702759,2
iris,4,Heuristic (FhS),0.6,72,0.0,0,2,74.00370001792908,5
iris,4,Heuristic (FhS),0.8,96,0.0,0,1,36.211621046066284,1
iris,4,Heuristic (FhS) with shifts,0.0,3,0.0,0,3,8.73620319366455,9
iris,4,Heuristic (FhS) with shifts,0.2,24,0.0,0,1,23.906293153762817,8
iris,4,Heuristic (FhS) with shifts,0.4,48,0.0,0,1,3.9552700519561768,2
iris,4,Heuristic (FhS) with shifts,0.6,72,0.0,0,2,59.67095112800598,5
iris,4,Heuristic (FhS) with shifts,0.8,96,0.0,0,1,30.13692307472229,1
iris,4,Exact (FeS),0.0,3,NaN,2,3,120.03788208961487,15
iris,4,Exact (FeS),0.2,24,1.694913817869646,2,1,120.5375280380249,12
iris,4,Exact (FeS),0.4,48,0.0,0,2,39.62616801261902,4
iris,4,Exact (FeS),0.6,72,0.0,0,1,55.24086022377014,4
iris,4,Exact (FeS),0.8,96,0.0,0,1,44.849112033843994,2
seeds,2,Univariate,0.0,3,0.0,55,19,0.0161898136138916,1
seeds,2,Univariate,0.2,33,0.0,22,5,0.34575510025024414,1
seeds,2,Univariate,0.4,67,0.0,15,3,0.764409065246582,1
seeds,2,Univariate,0.6,100,0.0,12,2,3.209458112716675,1
seeds,2,Univariate,0.8,134,0.0,11,3,9.700780153274536,1
seeds,2,Univariate,1.0,168,0.0,10,2,19.874459981918335,1
seeds,2,Heuristic (FhS),0.0,3,0.0,10,2,4.629483938217163,9
seeds,2,Heuristic (FhS),0.2,33,0.0,10,3,8.518739938735962,8
seeds,2,Heuristic (FhS),0.4,67,0.0,10,3,7.664495944976807,4
seeds,2,Heuristic (FhS),0.6,100,0.0,10,3,23.968538999557495,4
seeds,2,Heuristic (FhS),0.8,134,0.0,10,2,33.08101987838745,2
seeds,2,Heuristic (FhS) with shifts,0.0,3,0.0,10,2,4.97099494934082,9
seeds,2,Heuristic (FhS) with shifts,0.2,33,0.0,10,3,8.099020004272461,8
seeds,2,Heuristic (FhS) with shifts,0.4,67,0.0,10,3,7.708462953567505,4
seeds,2,Heuristic (FhS) with shifts,0.6,100,0.0,10,3,23.696128845214844,4
seeds,2,Heuristic (FhS) with shifts,0.8,134,0.0,10,2,33.06649303436279,2
seeds,2,Exact (FeS),0.0,3,0.0,10,3,119.66241693496704,11
seeds,2,Exact (FeS),0.2,33,0.0,10,2,69.80119895935059,7
seeds,2,Exact (FeS),0.4,67,0.0,10,2,33.187450885772705,3
seeds,2,Exact (FeS),0.6,100,0.0,10,3,65.13190793991089,3
seeds,2,Exact (FeS),0.8,134,0.0,10,3,57.26010489463806,2
seeds,3,Univariate,0.0,3,0.0,62,23,0.02587604522705078,1
seeds,3,Univariate,0.2,33,0.0,30,9,6.647368907928467,1
seeds,3,Univariate,0.4,67,0.0,6,3,12.812122821807861,1
seeds,3,Univariate,0.6,100,3.690306653621198,6,2,120.03021597862244,1
seeds,3,Univariate,0.8,134,2.4390229030348154,4,2,120.04039788246155,1
seeds,3,Univariate,1.0,168,4.347823386445102,7,4,120.04677987098694,1
seeds,3,Heuristic (FhS),0.0,3,NaN,11,2,120.01382088661194,7
seeds,3,Heuristic (FhS),0.2,33,NaN,12,3,120.01268696784973,6
seeds,3,Heuristic (FhS),0.4,67,1.8181807162541113,12,3,120.03494501113892,2
seeds,3,Heuristic (FhS),0.6,100,1.8181807162541113,7,1,120.05925607681274,1
seeds,3,Heuristic (FhS),0.8,134,4.999996875001953,8,2,120.06644296646118,1
seeds,3,Heuristic (FhS) with shifts,0.0,3,1.2048185513141256,11,2,120.01914286613464,6
seeds,3,Heuristic (FhS) with shifts,0.2,33,NaN,12,3,120.02507305145264,11
seeds,3,Heuristic (FhS) with shifts,0.4,67,1.8181807162541113,12,3,120.19174313545227,2
seeds,3,Heuristic (FhS) with shifts,0.6,100,1.8181807162541113,7,1,120.09067296981812,1
seeds,3,Heuristic (FhS) with shifts,0.8,134,4.999996875001953,0,0,120.08667993545532,1
seeds,3,Exact (FeS),0.0,3,1.2048185513141256,13,3,120.32092595100403,5
seeds,3,Exact (FeS),0.2,33,1.2048185513141256,10,4,120.34950184822083,4
seeds,3,Exact (FeS),0.4,67,0.598802036645487,22,3,120.07475709915161,1
seeds,3,Exact (FeS),0.6,100,2.4390229030348154,9,2,120.07918119430542,1
seeds,3,Exact (FeS),0.8,134,5.660373798507045,10,4,120.09038710594177,1
seeds,4,Univariate,0.0,3,0.0,62,23,0.029839038848876953,1
seeds,4,Univariate,0.2,33,0.0,28,6,8.904620885848999,1
seeds,4,Univariate,0.4,67,1.8518507087341303,4,3,120.038645029068,1
seeds,4,Univariate,0.6,100,2.4390229030348154,5,4,120.07454204559326,1
seeds,4,Univariate,0.8,134,7.692302761344384,12,3,120.0772340297699,1
seeds,4,Univariate,1.0,168,3.0674827806854106,5,4,120.09998106956482,1
seeds,4,Heuristic (FhS),0.0,3,NaN,11,5,120.0193510055542,8
seeds,4,Heuristic (FhS),0.2,33,NaN,8,6,120.03392601013184,10
seeds,4,Heuristic (FhS),0.4,67,2.4390229030348154,9,2,120.51111388206482,3
seeds,4,Heuristic (FhS),0.6,100,1.2048185513141256,5,1,120.1337730884552,1
seeds,4,Heuristic (FhS),0.8,134,4.347823386445102,8,2,120.41748094558716,1
seeds,4,Heuristic (FhS) with shifts,0.0,3,NaN,0,0,120.04221510887146,11
seeds,4,Heuristic (FhS) with shifts,0.2,33,NaN,8,6,120.02522301673889,6
seeds,4,Heuristic (FhS) with shifts,0.4,67,1.8181807162541113,8,2,120.36358189582825,3
seeds,4,Heuristic (FhS) with shifts,0.6,100,1.2048185513141256,5,1,120.13910293579102,1
seeds,4,Heuristic (FhS) with shifts,0.8,134,4.347823386445102,8,2,120.65152311325073,1
seeds,4,Exact (FeS),0.0,3,1.2048185513141256,8,3,120.19272017478943,6
seeds,4,Exact (FeS),0.2,33,6.329109918284861,9,4,120.35894799232483,4
seeds,4,Exact (FeS),0.4,67,2.4390229030348154,11,3,120.44307613372803,2
seeds,4,Exact (FeS),0.6,100,7.692302761344384,14,2,120.37924385070801,2
seeds,4,Exact (FeS),0.8,134,4.999996875001953,17,4,120.27444291114807,1
wine,2,Univariate,0.0,3,0.0,57,15,0.022025108337402344,1
wine,2,Univariate,0.2,28,0.0,19,8,0.3295578956604004,1
wine,2,Univariate,0.4,56,0.0,8,3,0.601140022277832,1
wine,2,Univariate,0.6,85,0.0,5,2,4.715289115905762,1
wine,2,Univariate,0.8,113,0.0,6,2,16.90393900871277,1
wine,2,Univariate,1.0,142,0.0,5,2,29.636471033096313,1
wine,2,Heuristic (FhS),0.0,3,0.0,5,2,12.76716685295105,9
wine,2,Heuristic (FhS),0.2,28,0.0,5,2,20.24770498275757,10
wine,2,Heuristic (FhS),0.4,56,0.0,5,2,18.098381996154785,6
wine,2,Heuristic (FhS),0.6,85,0.0,5,2,27.218404054641724,4
wine,2,Heuristic (FhS),0.8,113,0.0,5,2,43.33830499649048,3
wine,2,Heuristic (FhS) with shifts,0.0,3,0.0,5,2,12.991509914398193,9
wine,2,Heuristic (FhS) with shifts,0.2,28,0.0,5,2,20.582940816879272,10
wine,2,Heuristic (FhS) with shifts,0.4,56,0.0,5,2,18.49621820449829,6
wine,2,Heuristic (FhS) with shifts,0.6,85,0.0,0,0,27.86230707168579,4
wine,2,Heuristic (FhS) with shifts,0.8,113,0.0,5,2,43.51559901237488,3
wine,2,Exact (FeS),0.0,3,0.0,5,2,71.8323130607605,9
wine,2,Exact (FeS),0.2,28,0.0,5,2,52.576606035232544,9
wine,2,Exact (FeS),0.4,56,0.0,5,2,88.8151159286499,8
wine,2,Exact (FeS),0.6,85,0.0,5,2,89.19925379753113,5
wine,2,Exact (FeS),0.8,113,0.0,5,2,43.13589596748352,2
wine,3,Univariate,0.0,3,0.0,57,15,0.026029109954833984,1
wine,3,Univariate,0.2,28,0.0,27,10,2.6491858959198,1
wine,3,Univariate,0.4,56,0.0,2,3,10.896106004714966,1
wine,3,Univariate,0.6,85,0.0,2,1,19.095422983169556,1
wine,3,Univariate,0.8,113,0.0,0,4,74.10422682762146,1
wine,3,Univariate,1.0,142,0.0,0,3,112.45375800132751,1
wine,3,Heuristic (FhS),0.0,3,1.428570408163994,2,3,120.07596611976624,9
wine,3,Heuristic (FhS),0.2,28,0.0,0,2,73.67208409309387,7
wine,3,Heuristic (FhS),0.4,56,4.4117614619401015,6,1,120.03487992286682,9
wine,3,Heuristic (FhS),0.6,85,1.428570408163994,4,4,120.00351309776306,4
wine,3,Heuristic (FhS),0.8,113,0.7092193551635779,2,4,120.15974187850952,5
wine,3,Heuristic (FhS) with shifts,0.0,3,1.428570408163994,0,1,120.36243605613708,9
wine,3,Heuristic (FhS) with shifts,0.2,28,0.0,0,2,72.78400802612305,7
wine,3,Heuristic (FhS) with shifts,0.4,56,3.649632372531115,2,2,120.31001091003418,9
wine,3,Heuristic (FhS) with shifts,0.6,85,1.428570408163994,4,4,120.2603051662445,4
wine,3,Heuristic (FhS) with shifts,0.8,113,NaN,5,5,120.01621794700623,11
wine,3,Exact (FeS),0.0,3,2.158271828581418,3,3,120.18341898918152,9
wine,3,Exact (FeS),0.2,28,1.428570408163994,2,4,120.41661596298218,9
wine,3,Exact (FeS),0.4,56,5.185181344318619,11,5,120.14698815345764,7
wine,3,Exact (FeS),0.6,85,NaN,11,6,120.02575898170471,7
wine,3,Exact (FeS),0.8,113,NaN,71,20,120.05402112007141,9
wine,4,Univariate,0.0,3,0.0,58,15,0.04748415946960449,1
wine,4,Univariate,0.2,28,0.0,10,7,7.304157972335815,1
wine,4,Univariate,0.4,56,0.0,2,2,41.86949014663696,1
wine,4,Univariate,0.6,85,0.0,0,2,43.89146590232849,1
wine,4,Univariate,0.8,113,0.0,0,2,78.42050004005432,1
wine,4,Univariate,1.0,142,4.4117614619401015,6,4,120.0955331325531,1
