Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time,Iterations
iris,2,Univariate,0.0,3,0.0,38,12,0.015986919403076172,1
iris,2,Univariate,0.2,24,0.0,5,1,0.2330160140991211,1
iris,2,Univariate,0.4,48,0.0,5,1,0.33991289138793945,1
iris,2,Univariate,0.6,72,0.0,5,1,0.8945789337158203,1
iris,2,Univariate,0.8,96,0.0,5,1,2.356977939605713,1
iris,2,Univariate,1.0,120,0.0,5,1,3.1319680213928223,1
iris,2,Heuristic (FhS),0.0,3,0.0,5,1,1.0230350494384766,8
iris,2,Heuristic (FhS),0.2,24,0.0,5,1,2.2882180213928223,6
iris,2,Heuristic (FhS),0.4,48,0.0,5,1,3.239227056503296,5
iris,2,Heuristic (FhS),0.6,72,0.0,5,1,2.3121979236602783,2
iris,2,Heuristic (FhS),0.8,96,0.0,5,1,1.5701398849487305,1
iris,2,Heuristic (FhS) with shifts,0.0,3,0.0,5,1,1.195429801940918,8
iris,2,Heuristic (FhS) with shifts,0.2,24,0.0,5,1,2.2188851833343506,6
iris,2,Heuristic (FhS) with shifts,0.4,48,0.0,5,1,3.0601210594177246,5
iris,2,Heuristic (FhS) with shifts,0.6,72,0.0,5,1,2.796107053756714,2
iris,2,Heuristic (FhS) with shifts,0.8,96,0.0,5,1,1.8869340419769287,1
iris,2,Exact (FeS),0.0,3,0.0,5,1,10.146063089370728,8
iris,2,Exact (FeS),0.2,24,0.0,5,1,12.260432958602905,6
iris,2,Exact (FeS),0.4,48,0.0,5,1,12.259956121444702,4
iris,2,Exact (FeS),0.6,72,0.0,5,1,10.94931697845459,3
iris,2,Exact (FeS),0.8,96,0.0,6,1,4.463561058044434,1
iris,3,Univariate,0.0,3,0.0,38,12,0.02987504005432129,1
iris,3,Univariate,0.2,24,0.0,4,2,1.0819518566131592,1
iris,3,Univariate,0.4,48,0.0,2,1,5.121251106262207,1
iris,3,Univariate,0.6,72,0.0,0,1,2.2909250259399414,1
iris,3,Univariate,0.8,96,0.0,0,1,4.9811930656433105,1
iris,3,Univariate,1.0,120,0.0,0,3,15.762194871902466,1
iris,3,Heuristic (FhS),0.0,3,0.0,0,4,8.202032089233398,8
iris,3,Heuristic (FhS),0.2,24,0.0,0,1,7.934077978134155,7
iris,3,Heuristic (FhS),0.4,48,0.0,0,4,4.471359968185425,2
iris,3,Heuristic (FhS),0.6,72,0.0,0,4,5.3399817943573,2
iris,3,Heuristic (FhS),0.8,96,0.0,0,3,17.867526054382324,1
iris,3,Heuristic (FhS) with shifts,0.0,3,0.0,0,4,11.229743957519531,8
iris,3,Heuristic (FhS) with shifts,0.2,24,0.0,0,1,9.032929182052612,7
iris,3,Heuristic (FhS) with shifts,0.4,48,0.0,0,4,3.605557918548584,2
iris,3,Heuristic (FhS) with shifts,0.6,72,0.0,0,4,4.565721035003662,2
iris,3,Heuristic (FhS) with shifts,0.8,96,0.0,0,0,17.877568006515503,1
iris,3,Exact (FeS),0.0,3,0.0,0,1,33.67749500274658,9
iris,3,Exact (FeS),0.2,24,0.0,0,3,42.09584593772888,8
iris,3,Exact (FeS),0.4,48,0.0,0,1,7.851588010787964,1
iris,3,Exact (FeS),0.6,72,0.0,0,4,21.504516124725342,2
iris,3,Exact (FeS),0.8,96,0.0,0,1,4.8574769496917725,1
iris,4,Univariate,0.0,3,0.0,38,12,0.03192400932312012,1
iris,4,Univariate,0.2,24,0.0,3,3,5.657352924346924,1
iris,4,Univariate,0.4,48,0.0,2,2,2.6052699089050293,1
iris,4,Univariate,0.6,72,0.0,0,1,10.070389032363892,1
iris,4,Univariate,0.8,96,0.0,0,1,16.049697875976562,1
iris,4,Univariate,1.0,120,0.0,0,1,36.63017988204956,1
iris,4,Heuristic (FhS),0.0,3,0.0,0,3,14.523538827896118,9
iris,4,Heuristic (FhS),0.2,24,0.0,0,1,28.198575019836426,8
iris,4,Heuristic (FhS),0.4,48,0.0,0,1,4.6084229946136475,2
iris,4,Heuristic (FhS),0.6,72,0.0,0,2,63.348042011260986,5
iris,4,Heuristic (FhS),0.8,96,0.0,0,1,28.452801942825317,1
iris,4,Heuristic (FhS) with shifts,0.0,3,0.0,0,3,8.522717952728271,9
