Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time
iris,2,Univariate,0.0,3,0.0,38,12,2.3918731212615967
iris,2,Univariate,0.2,24,0.0,5,1,0.2885870933532715
iris,2,Univariate,0.4,48,0.0,5,1,0.43007993698120117
iris,2,Univariate,0.6,72,0.0,5,1,0.8442881107330322
iris,2,Univariate,0.8,96,0.0,5,1,1.9328429698944092
iris,2,Univariate,1.0,120,0.0,5,1,3.013400077819824
iris,2,Multivariate,0.0,3,0.0,82,18,0.12473201751708984
iris,2,Multivariate,0.2,24,0.0,82,18,0.17757606506347656
iris,2,Multivariate,0.4,48,0.0,82,18,0.33409786224365234
iris,2,Multivariate,0.6,72,0.0,76,24,0.6549930572509766
iris,2,Multivariate,0.8,96,0.0,82,18,0.8818709850311279
iris,2,Multivariate,1.0,120,0.0,76,24,1.5889089107513428
iris,3,Univariate,0.0,3,0.0,38,12,0.02612900733947754
iris,3,Univariate,0.2,24,0.0,4,2,1.3014559745788574
iris,3,Univariate,0.4,48,0.0,2,1,6.171159029006958
iris,3,Univariate,0.6,72,0.0,0,1,3.099652051925659
iris,3,Univariate,0.8,96,0.0,0,1,5.697371006011963
iris,3,Univariate,1.0,120,0.0,0,3,14.237114906311035
iris,3,Multivariate,0.0,3,0.0,76,24,0.20834803581237793
iris,3,Multivariate,0.2,24,0.0,82,18,1.015660047531128
iris,3,Multivariate,0.4,48,0.0,82,18,0.4340479373931885
iris,3,Multivariate,0.6,72,0.0,82,18,1.1399579048156738
iris,3,Multivariate,0.8,96,0.0,82,18,1.2511072158813477
iris,3,Multivariate,1.0,120,0.0,82,18,1.2991559505462646
iris,4,Univariate,0.0,3,0.0,38,12,0.028178930282592773
iris,4,Univariate,0.2,24,0.0,3,3,5.9924540519714355
iris,4,Univariate,0.4,48,0.0,2,2,3.212430000305176
iris,4,Univariate,0.6,72,0.0,0,1,11.763235807418823
iris,4,Univariate,0.8,96,0.0,0,1,14.610739946365356
iris,4,Univariate,1.0,120,0.0,0,1,34.07248497009277
iris,4,Multivariate,0.0,3,0.0,82,18,0.800778865814209
iris,4,Multivariate,0.2,24,0.0,82,18,0.5897870063781738
iris,4,Multivariate,0.4,48,0.0,82,18,1.4792380332946777
iris,4,Multivariate,0.6,72,0.0,82,18,1.4245860576629639
iris,4,Multivariate,0.8,96,0.0,82,18,3.5324440002441406
iris,4,Multivariate,1.0,120,0.0,82,18,8.39132809638977
seeds,2,Univariate,0.0,3,0.0,55,19,0.014695882797241211
seeds,2,Univariate,0.2,33,0.0,22,5,0.2857170104980469
seeds,2,Univariate,0.4,67,0.0,15,3,0.6683580875396729
seeds,2,Univariate,0.6,100,0.0,12,2,2.8283071517944336
seeds,2,Univariate,0.8,134,0.0,11,3,8.739563941955566
