Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time,Iterations
iris,2,Univariate,0.0,3,0.0,38,12,0.013914108276367188,1
iris,2,Univariate,0.2,25,0.0,6,1,0.09945487976074219,1
iris,2,Univariate,0.4,48,0.0,5,1,0.5201170444488525,1
iris,2,Univariate,0.6,72,0.0,5,1,0.7118680477142334,1
iris,2,Univariate,0.8,95,0.0,5,1,1.972038984298706,1
iris,2,Univariate,1.0,118,0.0,5,1,3.091726064682007,1
iris,2,Multivariate,0.0,3,0.0,82,18,0.08640408515930176,1
iris,2,Multivariate,0.2,25,0.0,76,24,0.185899019241333,1
iris,2,Multivariate,0.4,48,0.0,82,18,0.25699901580810547,1
iris,2,Multivariate,0.6,72,0.0,82,18,0.501349925994873,1
iris,2,Multivariate,0.8,95,0.0,82,18,0.8293359279632568,1
iris,2,Multivariate,1.0,118,0.0,82,18,0.7536420822143555,1
iris,3,Univariate,0.0,3,0.0,38,12,0.023005008697509766,1
iris,3,Univariate,0.2,25,0.0,5,1,3.2654130458831787,1
iris,3,Univariate,0.4,48,0.0,4,1,7.203871965408325,1
iris,3,Univariate,0.6,72,0.0,0,1,2.200672149658203,1
iris,3,Univariate,0.8,95,0.0,1,1,18.380500078201294,1
iris,3,Univariate,1.0,118,0.0,0,1,2.02484393119812,1
iris,3,Multivariate,0.0,3,0.0,76,24,0.15290594100952148,1
iris,3,Multivariate,0.2,25,0.0,76,24,1.2377099990844727,1
iris,3,Multivariate,0.4,48,0.0,82,18,0.5758500099182129,1
iris,3,Multivariate,0.6,72,0.0,82,18,0.39699602127075195,1
iris,3,Multivariate,0.8,95,0.0,82,18,1.0618619918823242,1
iris,3,Multivariate,1.0,118,0.0,82,18,1.9115121364593506,1
iris,4,Univariate,0.0,3,0.0,38,12,0.028654098510742188,1
iris,4,Univariate,0.2,25,0.0,11,5,5.673189163208008,1
iris,4,Univariate,0.4,48,0.0,5,2,16.996681928634644,1
iris,4,Univariate,0.6,72,0.0,0,1,14.587902069091797,1
iris,4,Univariate,0.8,95,0.0,0,1,26.4495108127594,1
iris,4,Univariate,1.0,118,0.840335428289556,1,3,30.11610507965088,1
iris,4,Multivariate,0.0,3,0.0,82,18,0.530102014541626,1
iris,4,Multivariate,0.2,25,0.0,76,24,0.5949821472167969,1
iris,4,Multivariate,0.4,48,0.0,82,18,4.946774005889893,1
iris,4,Multivariate,0.6,72,0.0,82,18,5.059280872344971,1
iris,4,Multivariate,0.8,95,0.0,82,18,2.427783966064453,1
iris,4,Multivariate,1.0,118,0.0,82,18,8.287320137023926,1
