Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time
iris,2,Univariate,0.0,3,0.0,38,12,0.01479482650756836
iris,2,Univariate,0.2,24,0.0,5,1,0.23027515411376953
iris,2,Univariate,0.4,48,0.0,5,1,0.36607909202575684
iris,2,Univariate,0.6,72,0.0,5,1,0.7157809734344482
iris,2,Univariate,0.8,96,0.0,5,1,1.5097191333770752
iris,2,Univariate,1.0,120,0.0,5,1,2.296754837036133
iris,2,Multivariate,0.0,3,0.0,82,18,0.10749697685241699
iris,2,Multivariate,0.2,24,0.0,82,18,0.16964292526245117
iris,2,Multivariate,0.4,48,0.0,82,18,0.28460001945495605
iris,2,Multivariate,0.6,72,0.0,76,24,0.6468250751495361
iris,2,Multivariate,0.8,96,0.0,82,18,0.7366609573364258
iris,2,Multivariate,1.0,120,0.0,76,24,1.2614660263061523
iris,3,Univariate,0.0,3,0.0,38,12,0.02036595344543457
iris,3,Univariate,0.2,24,0.0,4,2,1.0684449672698975
iris,3,Univariate,0.4,48,0.0,2,1,3.9624929428100586
iris,3,Univariate,0.6,72,0.0,0,1,1.8076691627502441
iris,3,Univariate,0.8,96,0.0,0,1,4.594259977340698
iris,3,Univariate,1.0,120,0.0,0,3,12.536245822906494
iris,3,Multivariate,0.0,3,0.0,76,24,0.17845416069030762
iris,3,Multivariate,0.2,24,0.0,82,18,0.5459470748901367
iris,3,Multivariate,0.4,48,0.0,82,18,0.3647458553314209
iris,3,Multivariate,0.6,72,0.0,82,18,0.8525137901306152
iris,3,Multivariate,0.8,96,0.0,82,18,0.8958079814910889
iris,3,Multivariate,1.0,120,0.0,82,18,0.8553569316864014
iris,4,Univariate,0.0,3,0.0,38,12,0.03046393394470215
iris,4,Univariate,0.2,24,0.0,3,3,5.058073997497559
iris,4,Univariate,0.4,48,0.0,2,2,2.2383739948272705
iris,4,Univariate,0.6,72,0.0,0,1,8.834533929824829
iris,4,Univariate,0.8,96,0.0,0,1,13.205643892288208
iris,4,Univariate,1.0,120,0.0,0,1,34.25415110588074
iris,4,Multivariate,0.0,3,0.0,82,18,1.0202090740203857
iris,4,Multivariate,0.2,24,0.0,82,18,0.6129040718078613
iris,4,Multivariate,0.4,48,0.0,82,18,1.532703161239624
iris,4,Multivariate,0.6,72,0.0,82,18,1.3737659454345703
iris,4,Multivariate,0.8,96,0.0,82,18,3.4474799633026123
iris,4,Multivariate,1.0,120,0.0,82,18,7.002254962921143
seeds,2,Univariate,0.0,3,0.0,55,19,0.01440119743347168
seeds,2,Univariate,0.2,33,0.0,22,5,0.2884972095489502
seeds,2,Univariate,0.4,67,0.0,15,3,0.7363080978393555
seeds,2,Univariate,0.6,100,0.0,12,2,2.952098846435547
seeds,2,Univariate,0.8,134,0.0,11,3,9.03413200378418
seeds,2,Univariate,1.0,168,0.0,10,2,18.390733003616333
seeds,2,Multivariate,0.0,3,0.0,112,28,0.11718988418579102
seeds,2,Multivariate,0.2,33,0.0,112,28,0.5399270057678223
seeds,2,Multivariate,0.4,67,0.0,115,25,0.24701905250549316
seeds,2,Multivariate,0.6,100,0.0,115,25,0.8955390453338623
seeds,2,Multivariate,0.8,134,0.0,115,25,0.5561051368713379
seeds,2,Multivariate,1.0,168,0.0,109,31,0.8843741416931152
seeds,3,Univariate,0.0,3,0.0,62,23,0.025207996368408203
seeds,3,Univariate,0.2,33,0.0,30,9,5.199946165084839
seeds,3,Univariate,0.4,67,0.0,6,3,11.959439992904663
seeds,3,Univariate,0.6,100,2.9415734478144064,5,2,120.03776097297668
seeds,3,Univariate,0.8,134,2.4390229030348154,4,2,120.04353308677673
seeds,3,Univariate,1.0,168,4.347823386445102,7,4,120.04183101654053
seeds,3,Multivariate,0.0,3,0.0,112,28,0.23345589637756348
seeds,3,Multivariate,0.2,33,0.0,109,31,0.6287789344787598
seeds,3,Multivariate,0.4,67,0.0,115,25,1.789330005645752
seeds,3,Multivariate,0.6,100,0.0,115,25,1.572059154510498
seeds,3,Multivariate,0.8,134,0.0,115,25,2.4972150325775146
seeds,3,Multivariate,1.0,168,0.0,109,31,5.224146842956543
seeds,4,Univariate,0.0,3,0.0,62,23,0.03380393981933594
seeds,4,Univariate,0.2,33,0.0,28,6,8.365263938903809
seeds,4,Univariate,0.4,67,1.2345671391560868,4,3,120.0505039691925
seeds,4,Univariate,0.6,100,2.4390229030348154,5,4,120.17006492614746
seeds,4,Univariate,0.8,134,7.692302761344384,12,3,120.11607098579407
seeds,4,Univariate,1.0,168,3.0674827806854106,5,4,120.09879803657532
seeds,4,Multivariate,0.0,3,0.0,112,28,1.0243380069732666
seeds,4,Multivariate,0.2,33,0.0,115,25,1.5340540409088135
seeds,4,Multivariate,0.4,67,0.0,109,31,1.9231419563293457
seeds,4,Multivariate,0.6,100,0.0,112,28,4.434147834777832
seeds,4,Multivariate,0.8,134,0.0,109,31,11.579690933227539
seeds,4,Multivariate,1.0,168,0.0,115,25,34.053401947021484
wine,2,Univariate,0.0,3,0.0,57,15,0.02278304100036621
wine,2,Univariate,0.2,28,0.0,19,8,0.30726003646850586
wine,2,Univariate,0.4,56,0.0,8,3,0.506382942199707
wine,2,Univariate,0.6,85,0.0,5,2,4.445502042770386
wine,2,Univariate,0.8,113,0.0,6,2,15.778503894805908
wine,2,Univariate,1.0,142,0.0,5,2,28.342896223068237
wine,2,Multivariate,0.0,3,0.0,86,21,0.04688906669616699
wine,2,Multivariate,0.2,28,0.0,102,28,0.06323099136352539
wine,2,Multivariate,0.4,56,0.0,102,28,0.0734410285949707
wine,2,Multivariate,0.6,85,0.0,96,23,0.12753510475158691
wine,2,Multivariate,0.8,113,0.0,86,21,0.3621249198913574
wine,2,Multivariate,1.0,142,0.0,102,28,0.3414759635925293
wine,3,Univariate,0.0,3,0.0,57,15,0.02577996253967285
wine,3,Univariate,0.2,28,0.0,27,10,2.645942211151123
wine,3,Univariate,0.4,56,0.0,2,3,9.704896926879883
wine,3,Univariate,0.6,85,0.0,2,1,17.912261962890625
wine,3,Univariate,0.8,113,0.0,0,4,69.41175317764282
wine,3,Univariate,1.0,142,0.0,0,3,108.81033611297607
wine,3,Multivariate,0.0,3,0.0,86,21,0.09247708320617676
wine,3,Multivariate,0.2,28,0.0,96,23,0.8183879852294922
wine,3,Multivariate,0.4,56,0.0,102,28,0.632361888885498
wine,3,Multivariate,0.6,85,0.0,102,28,0.9815700054168701
wine,3,Multivariate,0.8,113,0.0,102,28,1.235978126525879
wine,3,Multivariate,1.0,142,0.0,86,21,1.6204240322113037
wine,4,Univariate,0.0,3,0.0,58,15,0.049226999282836914
wine,4,Univariate,0.2,28,0.0,10,7,6.514373064041138
wine,4,Univariate,0.4,56,0.0,2,2,38.76416206359863
wine,4,Univariate,0.6,85,0.0,0,2,41.14473080635071
wine,4,Univariate,0.8,113,0.0,0,2,77.08757996559143
wine,4,Univariate,1.0,142,4.4117614619401015,6,4,120.11142492294312
wine,4,Multivariate,0.0,3,0.0,96,23,0.21053218841552734
wine,4,Multivariate,0.2,28,0.0,96,23,1.632106065750122
wine,4,Multivariate,0.4,56,0.0,102,28,2.439318895339966
wine,4,Multivariate,0.6,85,0.0,102,28,3.534316062927246
wine,4,Multivariate,0.8,113,0.0,96,23,3.2578039169311523
wine,4,Multivariate,1.0,142,0.0,86,21,4.9678778648376465
breast_cancer_,2,Univariate,0.0,2,0.0,173,45,0.035629987716674805
breast_cancer_,2,Univariate,0.2,91,0.0,26,7,6.356258153915405
breast_cancer_,2,Univariate,0.4,182,0.0,21,7,26.91685199737549
breast_cancer_,2,Univariate,0.6,273,3.417100568567076,22,5,120.04626798629761
breast_cancer_,2,Univariate,0.8,364,4.055366222055463,18,5,120.05995178222656
breast_cancer_,2,Univariate,1.0,455,4.1189921924503,18,6,120.07618284225464
breast_cancer_,2,Multivariate,0.0,2,0.0,169,43,0.2225039005279541
breast_cancer_,2,Multivariate,0.2,91,0.0,169,43,0.43871116638183594
breast_cancer_,2,Multivariate,0.4,182,0.0,169,43,0.5050630569458008
breast_cancer_,2,Multivariate,0.6,273,0.0,286,71,1.2773010730743408
breast_cancer_,2,Multivariate,0.8,364,0.0,169,43,3.161059856414795
breast_cancer_,2,Multivariate,1.0,455,0.0,286,71,7.834211111068726
breast_cancer_,3,Univariate,0.0,2,0.0,356,90,0.0401611328125
breast_cancer_,3,Univariate,0.2,91,0.0,25,11,47.424643993377686
breast_cancer_,3,Univariate,0.4,182,15.176684778947978,25,7,120.09201002120972
breast_cancer_,3,Univariate,0.6,273,5.08083023537408,21,11,120.11024808883667
breast_cancer_,3,Univariate,0.8,364,6.807510139082128,22,8,120.14545798301697
breast_cancer_,3,Univariate,1.0,455,5.324072841649805,23,14,120.14653491973877
breast_cancer_,3,Multivariate,0.0,2,0.0,286,71,0.627784013748169
breast_cancer_,3,Multivariate,0.2,91,0.0,169,43,0.8392908573150635
breast_cancer_,3,Multivariate,0.4,182,0.0,169,43,11.87885594367981
breast_cancer_,3,Multivariate,0.6,273,0.0,169,43,5.671615123748779
breast_cancer_,3,Multivariate,0.8,364,0.0,286,71,1.211266040802002
breast_cancer_,3,Multivariate,1.0,455,0.0,286,71,16.75105595588684
breast_cancer_,4,Univariate,0.0,2,0.0,287,76,0.1327528953552246
