Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time,Iterations
iris,2,Univariate,0.0,3,0.0,38,12,0.01347804069519043,1
iris,2,Univariate,0.2,24,0.0,5,1,0.08470296859741211,1
iris,2,Univariate,0.4,48,0.0,5,1,0.24513697624206543,1
iris,2,Univariate,0.6,72,0.0,5,1,0.4032139778137207,1
iris,2,Univariate,0.8,95,0.0,5,1,0.9195249080657959,1
iris,2,Univariate,1.0,118,0.0,5,1,1.8862650394439697,1
iris,2,Multivariate,0.0,3,0.0,82,18,0.08780598640441895,1
iris,2,Multivariate,0.2,24,0.0,82,18,0.2561771869659424,1
iris,2,Multivariate,0.4,48,0.0,82,18,0.5383119583129883,1
iris,2,Multivariate,0.6,72,0.0,82,18,0.7413890361785889,1
iris,2,Multivariate,0.8,95,0.0,82,18,0.9353888034820557,1
iris,2,Multivariate,1.0,118,0.0,82,18,1.002100944519043,1
iris,3,Univariate,0.0,3,0.0,38,12,0.021522998809814453,1
iris,3,Univariate,0.2,24,0.0,1,1,0.8173878192901611,1
iris,3,Univariate,0.4,48,0.0,6,1,2.727512836456299,1
iris,3,Univariate,0.6,72,0.0,1,1,2.18916392326355,1
iris,3,Univariate,0.8,95,0.0,1,1,13.08674693107605,1
iris,3,Univariate,1.0,118,0.0,0,1,4.271677017211914,1
iris,3,Multivariate,0.0,3,0.0,76,24,0.15342998504638672,1
iris,3,Multivariate,0.2,24,0.0,76,24,0.5162510871887207,1
iris,3,Multivariate,0.4,48,0.0,82,18,0.7392840385437012,1
iris,3,Multivariate,0.6,72,0.0,82,18,0.7636768817901611,1
iris,3,Multivariate,0.8,95,0.0,82,18,0.5004661083221436,1
iris,3,Multivariate,1.0,118,0.0,82,18,0.9757330417633057,1
iris,4,Univariate,0.0,3,0.0,38,12,0.02847003936767578,1
iris,4,Univariate,0.2,24,0.0,2,1,1.0105319023132324,1
iris,4,Univariate,0.4,48,0.0,2,1,1.548497200012207,1
iris,4,Univariate,0.6,72,0.0,1,2,16.599265098571777,1
iris,4,Univariate,0.8,95,0.0,0,1,11.336924076080322,1
iris,4,Univariate,1.0,118,0.0,0,1,8.709053993225098,1
iris,4,Multivariate,0.0,3,0.0,82,18,0.4824330806732178,1
iris,4,Multivariate,0.2,24,0.0,82,18,4.754018068313599,1
iris,4,Multivariate,0.4,48,0.0,76,24,4.078269004821777,1
iris,4,Multivariate,0.6,72,0.0,82,18,3.6547060012817383,1
iris,4,Multivariate,0.8,95,0.0,82,18,6.279489040374756,1
iris,4,Multivariate,1.0,118,0.0,76,24,5.2508649826049805,1
seeds,2,Univariate,0.0,3,0.0,54,17,0.11966204643249512,1
seeds,2,Univariate,0.2,34,0.0,19,3,0.46576690673828125,1
seeds,2,Univariate,0.4,68,0.0,12,3,1.4167139530181885,1
seeds,2,Univariate,0.6,101,0.0,11,3,3.009273052215576,1
seeds,2,Univariate,0.8,135,0.0,12,2,15.269797801971436,1
seeds,2,Univariate,1.0,168,0.0,10,3,29.646214962005615,1
seeds,2,Multivariate,0.0,3,0.0,109,31,0.14996814727783203,1
seeds,2,Multivariate,0.2,34,0.0,115,25,0.6240620613098145,1
seeds,2,Multivariate,0.4,68,0.0,115,25,0.4040658473968506,1
seeds,2,Multivariate,0.6,101,0.0,112,28,0.9036960601806641,1
seeds,2,Multivariate,0.8,135,0.0,109,31,1.123443841934204,1
seeds,2,Multivariate,1.0,168,0.0,115,25,1.487091064453125,1
seeds,3,Univariate,0.0,3,0.0,33,13,0.03234100341796875,1
seeds,3,Univariate,0.2,34,0.0,12,3,6.565540075302124,1
seeds,3,Univariate,0.4,68,5.2006899057110285,11,3,30.021944046020508,1
seeds,3,Univariate,0.6,101,5.520540980668326,9,2,30.03022789955139,1
seeds,3,Univariate,0.8,135,9.090903187725203,13,3,30.041794061660767,1
seeds,3,Univariate,1.0,168,4.999996875001953,7,5,30.100504875183105,1
seeds,3,Multivariate,0.0,3,0.0,112,28,0.3015429973602295,1
seeds,3,Multivariate,0.2,34,0.0,109,31,0.8695850372314453,1
seeds,3,Multivariate,0.4,68,0.0,109,31,1.318781852722168,1
seeds,3,Multivariate,0.6,101,0.0,109,31,1.0090548992156982,1
seeds,3,Multivariate,0.8,135,0.0,112,28,3.205219030380249,1
seeds,3,Multivariate,1.0,168,0.0,112,28,3.531704902648926,1
seeds,4,Univariate,0.0,3,0.0,54,17,0.029093027114868164,1
seeds,4,Univariate,0.2,34,8.5564189444453,18,4,30.02679705619812,1
seeds,4,Univariate,0.4,68,11.25827068988696,10,3,30.040647983551025,1
seeds,4,Univariate,0.6,101,10.526308864270483,9,3,30.14715600013733,1
seeds,4,Univariate,0.8,135,12.751669294181681,11,4,30.07638382911682,1
seeds,4,Univariate,1.0,168,7.692302761344384,9,4,30.081532955169678,1
seeds,4,Multivariate,0.0,3,0.0,112,28,1.0864708423614502,1
seeds,4,Multivariate,0.2,34,0.0,112,28,1.803138017654419,1
seeds,4,Multivariate,0.4,68,0.0,115,25,10.590956926345825,1
seeds,4,Multivariate,0.6,101,0.0,109,31,15.263458967208862,1
seeds,4,Multivariate,0.8,135,0.0,109,31,19.55354905128479,1
seeds,4,Multivariate,1.0,168,1.2048185513141256,115,25,30.167460918426514,1
wine,2,Univariate,0.0,3,0.0,57,15,0.025742053985595703,1
wine,2,Univariate,0.2,28,0.0,17,4,0.6384930610656738,1
wine,2,Univariate,0.4,56,0.0,13,4,2.545590877532959,1
wine,2,Univariate,0.6,86,0.0,8,5,11.530933856964111,1
wine,2,Univariate,0.8,114,0.0,8,5,26.550617933273315,1
wine,2,Univariate,1.0,142,0.0,5,2,25.71400499343872,1
wine,2,Multivariate,0.0,3,0.0,102,28,0.05253005027770996,1
wine,2,Multivariate,0.2,28,0.0,96,23,0.2633950710296631,1
wine,2,Multivariate,0.4,56,0.0,86,21,0.3205080032348633,1
wine,2,Multivariate,0.6,86,0.0,86,21,0.35486578941345215,1
wine,2,Multivariate,0.8,114,0.0,102,28,0.404865026473999,1
wine,2,Multivariate,1.0,142,0.0,102,28,0.3837261199951172,1
wine,3,Univariate,0.0,3,0.0,56,15,0.029596805572509766,1
wine,3,Univariate,0.2,28,0.0,21,3,8.648936033248901,1
wine,3,Univariate,0.4,56,10.298066435145754,11,1,30.021788835525513,1
wine,3,Univariate,0.6,86,13.599989120008704,5,3,30.03029203414917,1
wine,3,Univariate,0.8,114,6.766912205329168,10,8,30.057866096496582,1
wine,3,Univariate,1.0,142,5.970144798399404,8,3,30.05308508872986,1
wine,3,Multivariate,0.0,3,0.0,86,21,0.15484189987182617,1
wine,3,Multivariate,0.2,28,0.0,102,28,0.6140220165252686,1
wine,3,Multivariate,0.4,56,0.0,86,21,1.0334820747375488,1
wine,3,Multivariate,0.6,86,0.0,86,21,0.22699689865112305,1
wine,3,Multivariate,0.8,114,0.0,102,28,1.1519439220428467,1
wine,3,Multivariate,1.0,142,0.0,102,28,1.0271821022033691,1
wine,4,Univariate,0.0,3,0.0,57,15,0.07657098770141602,1
wine,4,Univariate,0.2,28,0.0,11,2,19.624720096588135,1
wine,4,Univariate,0.4,56,18.333318055568288,13,3,30.03879404067993,1
wine,4,Univariate,0.6,86,14.516117325711834,9,4,30.059049129486084,1
wine,4,Univariate,0.8,114,13.599989120008704,10,4,30.067795038223267,1
wine,4,Univariate,1.0,142,4.4117614619401015,5,3,30.076486110687256,1
wine,4,Multivariate,0.0,3,0.0,96,23,0.21738600730895996,1
wine,4,Multivariate,0.2,28,0.0,86,21,3.1788108348846436,1
wine,4,Multivariate,0.4,56,0.0,96,23,2.2487950325012207,1
wine,4,Multivariate,0.6,86,0.0,86,21,6.601899147033691,1
wine,4,Multivariate,0.8,114,0.0,102,28,5.319301128387451,1
wine,4,Multivariate,1.0,142,0.0,86,21,4.050502061843872,1
breast_cancer_,2,Univariate,0.0,2,0.0,192,50,0.005764007568359375,1
breast_cancer_,2,Univariate,0.2,91,14.45224465798334,53,12,30.01668405532837,1
breast_cancer_,2,Univariate,0.4,182,16.233742402586014,28,9,30.034868001937866,1
breast_cancer_,2,Univariate,0.6,273,12.903222604660648,38,8,30.057156801223755,1
breast_cancer_,2,Univariate,0.8,364,6.557375513495196,20,6,30.06368112564087,1
breast_cancer_,2,Univariate,1.0,455,5.08083023537408,22,6,30.077441215515137,1
breast_cancer_,2,Multivariate,0.0,2,0.0,169,43,0.2381429672241211,1
breast_cancer_,2,Multivariate,0.2,91,0.0,286,71,1.2787230014801025,1
breast_cancer_,2,Multivariate,0.4,182,0.0,286,71,1.1854231357574463,1
breast_cancer_,2,Multivariate,0.6,273,0.0,286,71,1.5410149097442627,1
breast_cancer_,2,Multivariate,0.8,364,0.0,286,71,1.6870908737182617,1
breast_cancer_,2,Multivariate,1.0,455,0.0,286,71,4.387627124786377,1
breast_cancer_,3,Univariate,0.0,2,0.0,245,60,0.059880971908569336,1
breast_cancer_,3,Univariate,0.2,91,26.03877395047813,39,8,30.063616037368774,1
breast_cancer_,3,Univariate,0.4,182,18.4895785183403,39,9,30.164139986038208,1
breast_cancer_,3,Univariate,0.6,273,14.035084201733284,38,11,30.104907989501953,1
breast_cancer_,3,Univariate,0.8,364,7.311319030349286,21,6,30.179460048675537,1
breast_cancer_,3,Univariate,1.0,455,6.807510139082128,29,8,30.243975162506104,1
breast_cancer_,3,Multivariate,0.0,2,0.0,169,43,0.8148889541625977,1
breast_cancer_,3,Multivariate,0.2,91,1.7897087718772324,286,71,30.13506293296814,1
breast_cancer_,3,Multivariate,0.4,182,0.0,286,71,10.937948942184448,1
breast_cancer_,3,Multivariate,0.6,273,0.0,286,71,13.369842052459717,1
breast_cancer_,3,Multivariate,0.8,364,0.0,169,43,1.195965051651001,1
breast_cancer_,3,Multivariate,1.0,455,0.0,286,71,17.74212408065796,1
breast_cancer_,4,Univariate,0.0,2,0.0,230,58,0.04406094551086426,1
breast_cancer_,4,Univariate,0.2,91,28.895175950375087,40,9,30.080967903137207,1
breast_cancer_,4,Univariate,0.4,182,22.972966764063038,40,9,30.198089122772217,1
breast_cancer_,4,Univariate,0.6,273,28.169006149575736,54,12,30.24501085281372,1
breast_cancer_,4,Univariate,0.8,364,9.903379250391486,34,12,30.303547143936157,1
breast_cancer_,4,Univariate,1.0,455,9.374997746394772,39,12,30.41019582748413,1
breast_cancer_,4,Multivariate,0.0,2,0.0,169,43,1.5684740543365479,1
breast_cancer_,4,Multivariate,0.2,91,0.0,286,71,1.6182878017425537,1
breast_cancer_,4,Multivariate,0.4,182,59.090888429759296,169,43,30.155543088912964,1
breast_cancer_,4,Multivariate,0.6,273,169.23066909427865,286,71,30.190616130828857,1
breast_cancer_,4,Multivariate,0.8,364,169.23066909427865,286,71,30.222553968429565,1
breast_cancer_,4,Multivariate,1.0,455,169.23066909427865,286,71,30.258880138397217,1
ecoli_,2,Univariate,0.0,8,0.0,154,33,0.04301810264587402,1
ecoli_,2,Univariate,0.2,54,0.0,66,20,1.4464890956878662,1
ecoli_,2,Univariate,0.4,108,0.0,53,17,4.87322211265564,1
ecoli_,2,Univariate,0.6,159,0.0,50,15,7.175528049468994,1
ecoli_,2,Univariate,0.8,215,4.5674628549348855,48,16,30.042377948760986,1
ecoli_,2,Univariate,1.0,268,7.9310809097126125,47,15,30.042444229125977,1
ecoli_,2,Multivariate,0.0,8,0.0,241,60,0.19056391716003418,1
ecoli_,2,Multivariate,0.2,54,0.0,199,60,8.936999797821045,1
