Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time
iris,2,Univariate,0.0,3,0.0,38,12,0.030285120010375977
iris,2,Univariate,0.2,24,0.0,5,1,0.21432995796203613
iris,2,Univariate,0.4,48,0.0,5,1,0.366473913192749
iris,2,Univariate,0.6,72,0.0,5,1,0.7187261581420898
iris,2,Univariate,0.8,96,0.0,5,1,1.498702049255371
iris,2,Univariate,1.0,120,0.0,5,1,2.298226833343506
iris,2,Multivariate,0.0,3,0.0,82,18,0.10057616233825684
iris,2,Multivariate,0.2,24,0.0,82,18,0.13833093643188477
iris,2,Multivariate,0.4,48,0.0,82,18,0.26858091354370117
iris,2,Multivariate,0.6,72,0.0,76,24,0.4635648727416992
iris,2,Multivariate,0.8,96,0.0,82,18,0.6923549175262451
iris,2,Multivariate,1.0,120,0.0,76,24,1.253920078277588
iris,3,Univariate,0.0,3,0.0,38,12,0.02561211585998535
iris,3,Univariate,0.2,24,0.0,4,2,1.0249428749084473
iris,3,Univariate,0.4,48,0.0,2,1,4.384099006652832
iris,3,Univariate,0.6,72,0.0,0,1,1.7705950736999512
iris,3,Univariate,0.8,96,0.0,0,1,4.186514854431152
iris,3,Univariate,1.0,120,0.0,0,3,12.603096961975098
iris,3,Multivariate,0.0,3,0.0,76,24,0.17218804359436035
iris,3,Multivariate,0.2,24,0.0,82,18,0.5518357753753662
iris,3,Multivariate,0.4,48,0.0,82,18,0.3742668628692627
iris,3,Multivariate,0.6,72,0.0,82,18,0.8568680286407471
iris,3,Multivariate,0.8,96,0.0,82,18,0.9159629344940186
iris,3,Multivariate,1.0,120,0.0,82,18,0.8531150817871094
iris,4,Univariate,0.0,3,0.0,38,12,0.026244163513183594
iris,4,Univariate,0.2,24,0.0,3,3,5.244873046875
iris,4,Univariate,0.4,48,0.0,2,2,2.3528411388397217
iris,4,Univariate,0.6,72,0.0,0,1,9.192556858062744
iris,4,Univariate,0.8,96,0.0,0,1,13.591185808181763
iris,4,Univariate,1.0,120,0.0,0,1,34.674347162246704
